
Velocidad,Setpoint,PWM
0.00,120,0.40
5.00,120,0.40
25.00,120,0.40
35.00,120,0.40
60.00,120,0.40
75.00,120,0.40
85.00,120,0.40
100.00,120,0.40
110.00,120,0.40
110.00,120,0.40
120.00,120,0.40
125.00,120,0.40
125.00,120,0.40
120.00,120,0.40
125.00,120,0.40
120.00,120,0.40
125.00,120,0.40
120.00,120,0.40
125.00,120,0.40
120.00,120,0.40
120.00,120,0.40
125.00,120,0.40
120.00,120,0.40
125.00,120,0.40
120.00,120,0.40
125.00,120,0.40
120.00,120,0.40
120.00,120,0.40
120.00,120,0.40
120.00,120,0.40
115.00,120,0.40
120.00,120,0.40
120.00,120,0.40
120.00,120,0.40
125.00,120,0.40
120.00,120,0.40
115.00,120,0.40
120.00,120,0.40
120.00,120,0.40
120.00,120,0.40
120.00,120,0.40
120.00,120,0.40
120.00,120,0.40
120.00,120,0.40
120.00,120,0.40
120.00,120,0.40
120.00,120,0.40
120.00,120,0.40
120.00,120,0.40
120.00,120,0.40
120.00,120,0.40
125.00,120,0.40
120.00,120,0.40
120.00,120,0.40
