Tiempo_s,RPM,PWM
0.02,0,36
0.041,0,12
0.062,0,13
0.083,0,14
0.104,0,15
0.125,0,16
0.146,0,17
0.167,0,18
0.188,0,19
0.209,0,20
0.23,0,21
0.251,0,22
0.272,0,23
0.293,0,24
0.314,0,25
0.335,0,26
0.356,0,27
0.377,0,28
0.398,0,29
0.419,0,30
0.44,0,31
0.461,0,32
0.482,0,33
0.503,0,34
0.524,0,35
0.545,0,36
0.566,0,37
0.587,0,38
0.608,0,39
0.629,12.5,35
0.65,0,44
0.671,0,41
0.692,0,42
0.713,0,43
0.735,0,44
0.756,0,45
0.778,0,46
0.799,0,47
0.82,0,48
0.841,0,49
0.863,0,50
0.884,0,51
0.906,0,52
0.927,0,53
0.948,12.5,50
0.969,25,49
0.991,12.5,58
1.012,25,51
1.034,37.5,50
1.055,25,59
1.076,37.5,52
1.097,25,60
1.119,25,58
1.14,37.5,54
1.162,37.5,58
1.183,37.5,58
1.204,50,54
1.225,37.5,63
1.247,37.5,60
1.268,50,56
1.29,50,60
1.311,50,60
1.332,50,61
1.353,50,61
1.375,50,62
1.396,62.5,58
1.418,62.5,61
1.439,62.5,62
1.46,62.5,62
1.481,62.5,62
1.503,62.5,63
1.524,62.5,63
1.546,62.5,64
1.567,62.5,64
1.588,62.5,64
1.609,62.5,65
1.631,75,61
1.652,62.5,68
1.674,62.5,66
1.695,62.5,66
1.716,75,62
1.737,75,65
1.759,75,66
1.78,75,66
1.802,75,66
1.823,75,66
1.844,75,67
1.865,75,67
1.887,87.5,63
1.908,75,70
1.93,75,67
1.951,75,68
1.972,75,68
1.993,75,68
2.015,87.5,64
2.036,75,72
2.058,75,69
2.079,87.5,65
2.1,75,72
2.121,75,69
2.143,75,70
2.164,87.5,65
2.186,87.5,69
2.207,87.5,69
2.228,87.5,69
2.249,87.5,69
2.271,87.5,69
2.292,87.5,69
2.314,87.5,69
2.335,87.5,70
2.356,75,74
2.377,87.5,67
2.399,75,75
2.42,87.5,67
2.442,87.5,70
2.463,87.5,71
2.484,87.5,71
2.505,75,75
2.527,87.5,68
2.548,87.5,71
2.57,87.5,71
2.591,87.5,71
2.612,75,76
2.633,87.5,69
2.655,100,67
2.676,87.5,75
2.698,87.5,72
2.719,87.5,72
2.74,75,77
2.761,87.5,69
2.783,87.5,73
2.804,100,68
2.826,87.5,76
2.847,87.5,73
2.868,75,78
2.889,87.5,70
2.911,87.5,73
2.932,87.5,74
2.954,87.5,74
2.975,87.5,74
2.996,87.5,74
3.017,100,70
3.039,100,73
3.06,100,73
3.082,100,73
3.103,100,73
3.124,87.5,77
3.145,87.5,74
3.167,87.5,74
3.188,87.5,74
3.21,100,70
3.231,100,73
3.252,87.5,78
3.273,87.5,75
3.295,100,70
3.316,100,73
3.338,100,73
3.359,100,73
3.38,87.5,78
3.401,100,70
3.423,100,74
3.444,87.5,78
3.466,87.5,75
3.487,100,71
3.508,87.5,78
3.529,100,71
3.551,100,74
3.572,100,74
3.594,100,74
3.615,100,74
3.636,87.5,78
3.657,100,71
3.679,100,74
3.7,100,74
3.722,87.5,79
3.743,100,71
3.764,100,74
3.785,100,74
3.807,87.5,79
3.828,100,71
3.85,100,74
3.871,100,74
3.892,87.5,79
3.913,100,71
3.935,100,74
3.956,87.5,79
3.978,100,71
3.999,100,75
4.02,87.5,79
4.041,87.5,76
4.063,100,72
4.084,100,75
4.106,100,75
4.127,100,75
4.148,87.5,79
4.169,100,72
4.191,100,75
4.212,100,75
4.234,100,75
4.255,87.5,79
4.276,100,72
4.297,100,75
4.319,100,75
4.34,100,75
4.362,100,75
4.383,100,75
4.404,100,75
4.425,100,75
4.447,100,75
4.468,100,75
4.49,100,75
4.511,100,75
4.532,87.5,80
4.553,100,72
4.575,100,75
4.596,100,75
4.618,100,75
4.639,100,75
