Tiempo_s,RPM
0.02,25
0.04,50
0.06,87.5
0.08,100
0.1,112.5
0.121,137.5
0.142,125
0.163,150
0.184,150
0.205,162.5
0.226,162.5
0.247,175
0.268,162.5
0.289,175
0.31,175
0.331,187.5
0.352,175
0.373,175
0.394,175
0.415,187.5
0.436,175
0.457,175
0.478,175
0.499,175
0.521,187.5
0.542,175
0.563,175
0.584,175
0.606,187.5
0.627,187.5
0.649,187.5
0.67,187.5
0.691,175
0.712,187.5
0.734,187.5
0.755,187.5
0.777,175
0.798,187.5
0.819,175
0.84,175
0.862,187.5
0.883,175
0.905,187.5
0.926,175
0.947,175
0.968,187.5
0.99,175
1.011,187.5
1.033,187.5
1.054,187.5
1.075,175
1.096,187.5
1.118,187.5
1.139,175
1.161,187.5
1.182,187.5
1.203,175
1.224,187.5
1.246,187.5
1.267,187.5
1.289,175
1.31,187.5
1.331,175
1.352,187.5
1.374,187.5
1.395,187.5
1.417,187.5
1.438,187.5
1.459,175
1.48,187.5
1.502,187.5
1.523,187.5
1.545,187.5
1.566,187.5
1.587,187.5
1.608,187.5
1.63,187.5
1.651,187.5
1.673,187.5
1.694,187.5
1.715,175
1.736,175
1.758,187.5
1.779,187.5
1.801,187.5
1.822,187.5
1.843,175
1.864,187.5
1.886,187.5
1.907,187.5
1.929,175
1.95,187.5
1.971,175
1.992,187.5
2.014,187.5
2.035,187.5
2.057,187.5
2.078,187.5
2.099,175
2.12,175
2.142,187.5
2.163,187.5
2.185,175
2.206,187.5
2.227,175
2.248,187.5
2.27,175
2.291,187.5
2.313,187.5
2.334,187.5
2.355,187.5
2.376,187.5
2.398,187.5
2.419,187.5
2.441,175
2.462,187.5
2.483,175
2.504,187.5
2.526,187.5
2.547,187.5
2.569,187.5
2.59,187.5
2.611,175
2.632,187.5
2.654,187.5
2.675,187.5
2.697,187.5
2.718,187.5
2.739,175
2.76,187.5
2.782,187.5
2.803,187.5
2.825,187.5
2.846,187.5
2.867,175
2.888,187.5
2.91,187.5
2.931,187.5
2.953,187.5
2.974,175
2.995,187.5
3.016,187.5
3.038,187.5
3.059,187.5
3.081,187.5
3.102,187.5
3.123,175
3.144,187.5
3.166,187.5
3.187,187.5
3.209,200
3.23,187.5
3.251,175
3.272,187.5
3.294,175
3.315,187.5
3.337,187.5
3.358,187.5
3.379,175
3.4,187.5
3.422,187.5
3.443,187.5
3.465,187.5
3.486,187.5
3.507,187.5
3.528,187.5
3.55,187.5
3.571,187.5
3.593,187.5
3.614,187.5
3.635,175
3.656,187.5
3.678,187.5
3.699,187.5
3.721,187.5
3.742,187.5
3.763,187.5
3.784,187.5
3.806,187.5
3.827,187.5
3.849,187.5
3.87,187.5
3.891,175
3.912,187.5
3.934,187.5
3.955,187.5
3.977,187.5
3.998,187.5
4.019,187.5
4.04,187.5
4.062,187.5
4.083,187.5
4.105,175
4.126,187.5
4.147,175
4.168,187.5
4.19,187.5
4.211,187.5
4.233,187.5
4.254,187.5
4.275,175
4.296,187.5
4.318,187.5
4.339,187.5
4.361,187.5
4.382,187.5
4.403,175
4.424,187.5
4.446,187.5
4.467,187.5
4.489,187.5
4.51,187.5
4.531,175
4.552,175
4.574,187.5
4.595,187.5
4.617,187.5
4.638,187.5
4.659,175
4.68,187.5
4.702,187.5
4.723,187.5
4.745,187.5
4.766,187.5
4.787,187.5
4.808,187.5
4.83,187.5
4.851,187.5
4.873,187.5
4.894,187.5
